"id","category","rule_name","symptom_keywords","trigger_condition","risk_level","is_immediate_vet","recommended_action","evidence_id","priority"
"11","열사병","열사병 의심","[""열사병"", ""더위"", ""헐떡"", ""침 많이"", ""축 처져"", ""혼란"", ""잇몸 이상""]","더위 노출 후 심한 헐떡임, 침 흘림, 무기력, 혼란, 잇몸 이상 등이 언급된 경우","위험","1","그늘이나 서늘한 곳으로 옮기고 상온 물에 적신 수건으로 식히며 즉시 병원으로 이동하세요.","11","100"
"12","쇼크","쇼크 의심","[""쇼크"", ""약한 맥박"", ""얕은 호흡"", ""멍한 눈"", ""기절"", ""쓰러짐""]","쇼크, 약한 맥박, 얕은 호흡, 쓰러짐 등이 언급된 경우","위험","1","따뜻하고 조용하게 유지하면서 즉시 가까운 동물병원으로 이동하세요.","12","100"
"13","발작","발작/경련","[""발작"", ""경련"", ""몸을 떨어"", ""의식 없음"", ""침 흘려"", ""쓰러져""]","발작, 경련 또는 의식 이상이 언급된 경우","위험","1","주변 위험물을 치우고 발작 시간을 기록한 뒤 병원에 연락하세요. 입 안에 손을 넣지 마세요.","13","100"
"14","질식","질식/기도 이물질 의심","[""질식"", ""기도폐쇄"", ""하임리히"", ""켁켁"", ""캑캑"", ""컥컥"", ""목에 걸"", ""목 걸"", ""입을 긁"", ""혀 파래"", ""입술 파래"", ""숨 못 쉬"", ""숨쉬기 힘들"", ""호흡곤란""]","질식음, 호흡곤란, 푸른 입술/혀 또는 목에 걸린 듯한 증상이 언급된 경우","위험","1","숨을 쉴 수 있으면 진정시키고 즉시 병원에 가세요. 보이는 이물질만 조심히 확인하세요.","14","100"
"15","호흡정지","호흡하지 않음","[""숨 안 쉬"", ""호흡 안"", ""호흡정지"", ""기도 막힘""]","호흡하지 않거나 기도가 막힌 듯한 상황이 언급된 경우","위험","1","기도를 확인하고 가능한 경우 구조호흡을 시작하면서 즉시 병원으로 이동하세요.","15","110"
"16","심정지","심박/맥박 없음","[""심장 안 뛰"", ""맥박 없음"", ""반응 없음"", ""심정지"", ""CPR""]","심박 없음, 반응 없음 또는 CPR 필요 상황이 언급된 경우","위험","1","가능한 경우 구조호흡과 흉부압박을 시행하며 즉시 병원으로 이동하세요.","16","120"
"17","중독 공통","독성 물질 섭취/노출 의심","[""독성"", ""중독"", ""먹었어"", ""삼켰어"", ""핥았어"", ""묻었어"", ""노출"", ""poison""]","사용자가 독성 물질 섭취 또는 접촉을 언급한 경우","위험","1","물질명, 제품명, 섭취량과 시간을 확인하고 즉시 동물병원 또는 독성 상담 기관에 연락하세요.","17","95"
"18","독성 식물","식물 섭취 의심","[""식물"", ""화초"", ""꽃"", ""잎"", ""풀"", ""나뭇잎"", ""먹었""]","식물 섭취가 언급되었으나 식물명이 불명확한 경우","주의","0","식물명이나 사진, 섭취량과 시간을 확인하고 수의사에게 문의하세요.","18","55"
"19","독성 식물","소철/사고야자 섭취","[""소철"", ""사고야자"", ""sago palm"", ""cycad"", ""zamia""]","Sago Palm 또는 소철류 섭취가 언급된 경우","위험","1","소철/사고야자 섭취는 고위험일 수 있으므로 즉시 동물병원에 연락하세요.","19","100"
"20","독성 식물","튤립/구근 섭취","[""튤립"", ""tulip"", ""구근""]","튤립 또는 구근 섭취가 언급된 경우","위험","1","튤립 특히 구근 섭취는 위험할 수 있으므로 섭취량과 시간을 확인해 병원에 문의하세요.","20","90"
"21","독성 식물","철쭉/진달래류 섭취","[""철쭉"", ""진달래"", ""azalea"", ""rhododendron""]","Azalea/Rhododendron류 섭취가 언급된 경우","위험","1","철쭉/진달래류 섭취는 위험할 수 있으므로 즉시 병원에 연락하세요.","21","95"
"22","독성 식물","백합 섭취 - 강아지 기준 확인","[""백합"", ""lily""]","백합 섭취가 언급된 경우, 강아지 단독인지 반려묘 동거인지 확인 필요","정보부족","0","강아지 기준으로는 ASPCA에서 비독성으로 분류하지만, 식물명이 불확실하거나 반려묘가 함께 있다면 병원에 문의하세요.","22","30"
"23","위험 음식","알코올 섭취","[""술"", ""알코올"", ""맥주"", ""와인"", ""소주"", ""막걸리"", ""alcohol""]","알코올 또는 알코올 포함 음식/음료 섭취가 언급된 경우","위험","1","알코올 섭취량과 시간을 확인하고 즉시 동물병원에 연락하세요.","24","100"
"24","위험 음식","생효모 반죽 섭취","[""생반죽"", ""효모"", ""이스트"", ""yeast dough"", ""빵반죽""]","생효모 반죽 섭취가 언급된 경우","위험","1","생반죽 섭취는 위장 팽창 및 알코올 생성 위험이 있으므로 즉시 병원에 문의하세요.","24","100"
"25","위험 음식","초콜릿/카페인 섭취","[""초콜릿"", ""초코"", ""카카오"", ""코코아"", ""커피"", ""카페인"", ""에너지드링크"", ""콜드브루""]","초콜릿, 코코아, 커피, 카페인 제품 섭취가 언급된 경우","위험","1","제품 종류와 섭취량, 시간을 확인하고 즉시 동물병원에 연락하세요.","25","100"
"26","위험 음식","포도/건포도 섭취","[""포도"", ""건포도"", ""grape"", ""raisin""]","포도 또는 건포도 섭취가 언급된 경우","위험","1","섭취 개수/양과 시간을 확인하고 즉시 동물병원에 연락하세요.","26","100"
"27","위험 음식","양파/마늘/부추류 섭취","[""양파"", ""마늘"", ""부추"", ""파"", ""쪽파"", ""대파"", ""차이브"", ""allium""]","Allium류가 들어간 음식 섭취가 언급된 경우","위험","1","조리 여부와 섭취량을 확인하고 동물병원에 문의하세요.","27","95"
"28","위험 음식","자일리톨 섭취","[""자일리톨"", ""무설탕"", ""껌"", ""사탕"", ""캔디"", ""치약"", ""xylitol""]","자일리톨 또는 무설탕 제품 섭취가 언급된 경우","위험","1","제품 성분표와 섭취량을 확인하고 즉시 동물병원에 연락하세요.","28","100"
"29","위험 음식","마카다미아 섭취","[""마카다미아"", ""macadamia""]","마카다미아 섭취가 언급된 경우","위험","1","섭취량과 시간을 확인하고 병원에 문의하세요.","29","90"
"30","위험 음식","고염분/소금반죽 섭취","[""소금"", ""짠 음식"", ""소금반죽"", ""salt dough"", ""육수큐브"", ""bouillon""]","과도한 염분 음식 또는 소금반죽 섭취가 언급된 경우","위험","1","섭취량과 제품/음식 종류를 확인하고 병원에 문의하세요.","30","90"
"31","위험 음식","뼈/생고기/날계란 섭취","[""뼈"", ""닭뼈"", ""생고기"", ""날고기"", ""날계란"", ""raw egg"", ""raw meat""]","뼈, 생고기, 날계란 섭취가 언급된 경우","주의","0","섭취한 음식과 양을 확인하고 구토, 복통, 무기력, 배변 이상이 있으면 병원에 문의하세요.","31","70"
"32","주의 음식","유제품/고지방 견과류 섭취","[""우유"", ""치즈"", ""요거트"", ""유제품"", ""견과류"", ""아몬드"", ""호두"", ""피칸"", ""기름진""]","유제품 또는 일반 견과류/고지방 음식 섭취가 언급된 경우","주의","0","섭취량을 확인하고 설사/구토가 반복되거나 무기력이 있으면 병원에 문의하세요.","32","45"
"33","가정용품 중독","가정용품/세제 노출","[""세제"", ""청소용품"", ""생활용품"", ""화장품"", ""약품"", ""용품"", ""노출""]","가정용품 섭취 또는 접촉이 언급된 경우","주의","0","제품명과 성분표, 노출 경로와 시간을 확인해 병원에 문의하세요.","33","55"
"34","가정용품 중독","표백제/락스 섭취 또는 접촉","[""락스"", ""표백제"", ""bleach"", ""염소계""]","표백제 섭취 또는 접촉이 언급된 경우","위험","1","제품 농도와 노출 경로를 확인하고 즉시 병원 또는 독성 상담 기관에 연락하세요.","34","95"
"35","가정용품 중독","치약/자일리톨 가능 제품 섭취","[""치약"", ""toothpaste"", ""불소"", ""fluoride"", ""자일리톨""]","치약 섭취가 언급된 경우","위험","1","치약 성분표와 섭취량을 확인하고 병원에 연락하세요. 자일리톨 포함 여부를 확인하세요.","35","95"
"36","가정용품 중독","세탁세제/캡슐세제/드라이어시트 섭취","[""세탁세제"", ""캡슐세제"", ""세제포드"", ""laundry pod"", ""dryer sheet"", ""드라이어시트"", ""섬유유연제""]","세탁 제품 섭취가 언급된 경우","위험","1","제품명과 성분표, 섭취량과 시간을 확인하고 즉시 병원에 연락하세요.","36","95"
"37","가정용품 중독","화장품 또는 포장재 섭취","[""립스틱"", ""립글로스"", ""마스카라"", ""화장품"", ""로션"", ""바세린"", ""포장"", ""플라스틱""]","화장품 또는 포장재 섭취가 언급된 경우","주의","0","화장품 자체뿐 아니라 플라스틱 포장재를 삼켰는지 확인하고 병원에 문의하세요.","37","65"
"38","열사병/계절성","더위 노출 후 열사병 의심","[""더위"", ""뜨거워"", ""열사병"", ""헐떡"", ""호흡곤란"", ""침흘림"", ""쓰러짐"", ""발작"", ""차 안"", ""아스팔트""]","더위 노출 후 헐떡임, 호흡곤란, 침흘림, 쓰러짐, 발작 등이 언급된 경우","위험","1","시원한 곳으로 이동시키고 즉시 동물병원에 연락하세요.","38","100"
"39","계절성 위험","명절 장식/전선/배터리/틴셀 노출","[""전선"", ""배터리"", ""장식"", ""유리장식"", ""틴셀"", ""크리스마스"", ""트리"", ""스노우글로브"", ""제설제""]","명절 장식이나 화학물질/이물질 노출이 언급된 경우","위험","1","무엇을 씹거나 삼켰는지 제품/사진을 확인하고 병원에 문의하세요.","39","85"
"40","계절성 위험","할로윈 사탕/소품 섭취","[""할로윈"", ""사탕"", ""초콜릿"", ""무설탕"", ""자일리톨"", ""의상"", ""소품"", ""장식""]","할로윈 사탕 또는 소품/장식 섭취가 언급된 경우","위험","1","사탕 종류, 포장지, 섭취량과 시간을 확인해 병원에 연락하세요.","40","90"
"41","계절성/음식 위험","추수감사절/명절 음식 섭취","[""추수감사절"", ""칠면조"", ""닭뼈"", ""양파"", ""마늘"", ""육수큐브"", ""생반죽"", ""초콜릿"", ""자일리톨"", ""명절음식""]","명절 음식 중 위험 재료 섭취가 언급된 경우","위험","1","음식 재료와 조리 상태, 뼈 여부, 섭취량, 시간을 확인해 병원에 문의하세요.","41","90"
"42","중독 증상","중독 일반 증상 감지","[""중독"", ""구토"", ""설사"", ""침흘림"", ""식욕부진"", ""메스꺼움""]","중독 의심 물질 노출과 위장관 증상이 함께 언급된 경우","주의","0","노출 물질과 증상, 시간을 정리해 수의사 또는 독성 상담 기관에 문의하세요.","42","70"
"43","중독/내출혈","내출혈 의심 증상","[""피토"", ""피 토"", ""피 섞인 기침"", ""창백한 잇몸"", ""하얀 잇몸"", ""쓰러짐"", ""검은변"", ""혈변""]","독성 노출 의심과 피 토함/창백한 잇몸/쓰러짐 등 강한 위험 신호가 언급된 경우","위험","1","출혈 또는 순환 이상과 관련된 위험 신호가 있으므로 즉시 동물병원 또는 응급병원에 연락하세요.","43","100"
"44","중독/신장","신장 독성 의심 증상","[""갈증"", ""물을 많이"", ""소변"", ""배뇨"", ""입냄새"", ""포도"", ""건포도"", ""부동액""]","신장 독성 가능 물질 또는 배뇨/갈증 변화가 언급된 경우","위험","1","섭취 물질과 배뇨 변화, 경과 시간을 정리해 즉시 수의사 상담을 받으세요.","44","95"
"45","중독/간","간 독성 의심 증상","[""황달"", ""잇몸 노래"", ""검은변"", ""검은 변"", ""이상행동"", ""쓰러짐""]","독성 노출 후 황달, 검은 변, 이상 행동, 쓰러짐 등이 언급된 경우","위험","1","간 손상 가능 신호가 있으므로 즉시 병원에 연락하고 노출 물질을 전달하세요.","45","95"
"46","중독/임의처치 금지","임의 구토/민간요법 질문","[""토하게"", ""구토 유도"", ""과산화수소"", ""우유"", ""소금"", ""식용유"", ""민간요법""]","보호자가 독성 노출 후 가정 처치를 문의한 경우","위험","1","수의사 또는 독성 상담 기관과 먼저 상의하세요. 임의 구토 유도나 민간요법은 피하세요.","47","100"
"47","중독/대표 독소","Top 10 독소 섭취 의심","[""초콜릿"", ""포도"", ""건포도"", ""브로메탈린"", ""자일리톨"", ""이부프로펜"", ""THC"", ""쥐약"", ""비타민D"", ""카프로펜"", ""양파""]","Pet Poison Helpline 대표 독성 물질이 언급된 경우","위험","1","의심 물질의 포장/라벨, 섭취량, 시간을 챙겨 즉시 병원으로 이동하세요.","48","100"
"48","식물 중독","위험 식물 섭취 의심","[""백합"", ""릴리"", ""협죽도"", ""수선화"", ""진달래"", ""철쭉"", ""시클라멘"", ""칼랑코에"", ""크로커스""]","위험 식물 섭취 또는 접촉이 언급된 경우","위험","1","식물명이나 사진을 확보해 동물병원에 즉시 문의하세요.","49","95"
"49","약물 중독","사람 약물 섭취 의심","[""이부프로펜"", ""타이레놀"", ""아세트아미노펜"", ""항우울제"", ""ADHD"", ""수면제"", ""사람약""]","사람 약물 섭취가 언급된 경우","위험","1","약 이름, 용량, 복용/섭취 시간을 확인해 즉시 병원 또는 상담 기관에 연락하세요.","50","100"
"50","계절/봄 식물","봄철 구근 식물 섭취","[""튤립"", ""히아신스"", ""구근"", ""수선화"", ""daffodil""]","튤립/히아신스/수선화 등 봄철 구근 식물 섭취가 언급된 경우","주의","0","식물명과 섭취 부위, 증상을 확인해 병원에 문의하세요.","51","75"
"51","계절/여름 염분","바닷물/염분 중독 의심","[""바닷물"", ""소금물"", ""염분"", ""해수욕"", ""비틀"", ""발작""]","바닷물 과다 섭취 또는 염분 중독 의심 증상이 언급된 경우","위험","1","깨끗한 물을 제공하고 증상이 있으면 즉시 병원에 연락하세요.","55","95"
"52","계절/가을 버섯","미확인 버섯 섭취","[""버섯"", ""야생버섯"", ""마당 버섯"", ""산책 중 버섯""]","미확인 버섯 섭취가 언급된 경우","위험","1","버섯 사진이나 샘플을 준비해 즉시 병원에 문의하세요.","56","95"
"53","계절/가을 부동액","부동액 노출","[""부동액"", ""antifreeze"", ""ethylene glycol"", ""차고"", ""비틀"", ""갈증""]","부동액 또는 ethylene glycol 노출이 언급된 경우","위험","1","부동액 노출은 치명적일 수 있으므로 즉시 병원에 연락하세요.","57","100"
"54","계절/할로윈 음식","할로윈 사탕/포장지 섭취","[""할로윈"", ""사탕"", ""초콜릿"", ""건포도"", ""포장지"", ""캔디""]","할로윈 사탕, 초콜릿, 건포도 또는 포장지 섭취가 언급된 경우","위험","1","섭취한 음식과 포장지 포함 여부, 양, 시간을 확인해 병원에 문의하세요.","58","90"
"55","주방/식품 중독","주방 식품 독소 섭취","[""초콜릿"", ""자일리톨"", ""포도"", ""카페인"", ""양파"", ""마늘"", ""마카다미아"", ""생반죽"", ""알코올"", ""소금""]","Pet Poison Helpline 주방 독소 목록 식품 섭취가 언급된 경우","위험","1","식품명, 양, 섭취 시간을 확인해 동물병원 또는 독성 상담 기관에 문의하세요.","58","100"
"56","공간/욕실","욕실 약물/청소제품 노출","[""욕실"", ""약"", ""흡입제"", ""보충제"", ""청소제품"", ""변기세정제"", ""이부프로펜"", ""타이레놀""]","욕실 내 약물 또는 청소제품 노출이 언급된 경우","위험","1","제품명/성분표, 양, 노출 시간을 정리해 즉시 상담하세요.","59","90"
"57","공간/거실","거실 독소 노출","[""포푸리"", ""향"", ""에어로졸"", ""니코틴"", ""배터리"", ""가방"", ""자일리톨""]","거실 내 향제품, 니코틴, 배터리, 가방 속 독소 노출이 언급된 경우","위험","1","노출 물질을 확인하고 제품/사진을 준비해 병원에 문의하세요.","61","85"
"58","공간/다용도실","세탁/표백 제품 노출","[""세탁세제"", ""섬유유연제"", ""표백제"", ""건조기시트"", ""락스"", ""세제""]","세탁/표백 제품 노출 또는 섭취가 언급된 경우","위험","1","제품명/성분표, 노출 경로, 증상을 정리해 즉시 상담하세요.","61","90"
"59","공간/차고","차고 자동차 제품 노출","[""차고"", ""부동액"", ""자동차세정액"", ""브레이크액"", ""메탄올"", ""ethylene glycol""]","차고 내 자동차 관련 제품 노출이 언급된 경우","위험","1","제품명과 성분표, 노출량, 시간을 확인해 즉시 병원에 연락하세요.","63","100"
"60","공간/마당/정원","정원 독소 노출","[""정원"", ""마당"", ""비료"", ""살충제"", ""제초제"", ""퇴비"", ""멀치"", ""독성식물""]","마당/정원 제품 또는 식물 노출이 언급된 경우","주의","0","식물/제품명, 사진, 성분표, 섭취량, 시간을 정리해 병원에 문의하세요.","63","80"
"61","호흡곤란","호흡곤란 위험 신호","[""숨 못 쉬"", ""숨쉬기 힘들"", ""숨 쉬기 힘들"", ""숨을 못"", ""호흡곤란"", ""빠른 호흡"", ""헐떡"", ""잇몸 파래"", ""혀가 파래"", ""청색증"", ""쌕쌕"", ""쓰러짐""]","사용자 입력에 호흡곤란 또는 청색증/쓰러짐 등 호흡 응급 신호가 포함된 경우","위험","1","호흡곤란은 응급 상황일 수 있으므로 즉시 가까운 응급 동물병원에 연락하거나 방문하세요.","65","100"
"62","호흡곤란","호흡 이상 불확실 상담 권장","[""숨 이상"", ""호흡 이상"", ""숨쉬는 게 이상"", ""잘 모르겠"", ""위험한지 모르겠""]","호흡 이상이 의심되지만 사용자가 확신하지 못하는 경우","주의","0","호흡곤란 여부가 불확실해도 수의사 또는 응급 triage 상담을 권장합니다.","65","70"
"63","중독","독성 물질 섭취 의심","[""독성"", ""독"", ""먹었"", ""삼켰"", ""세제"", ""약"", ""농약"", ""쥐약"", ""청소용품"", ""화학물질""]","독성 물질, 약물, 화학물질, 위험 물질 섭취 또는 접촉이 언급된 경우","위험","1","제품명, 성분표, 섭취량, 섭취 시간을 확인하고 즉시 수의사 또는 독성 상담 기관에 연락하세요.","67","100"
"64","중독","중독 증상 동반","[""중독"", ""독성"", ""약"", ""세제"", ""화학물질"", ""황달"", ""혈변"", ""의식저하"", ""호흡곤란""]","독성 물질 노출 가능성과 황달, 혈변, 의식저하, 호흡곤란 같은 위험 신호가 함께 언급된 경우","위험","1","독성 물질 노출 가능성과 위험 신호가 함께 있으므로 즉시 병원 상담이 필요합니다.","67","95"
"65","중독/음식","초콜릿 섭취 고위험","[""초콜릿"", ""초코"", ""카카오"", ""코코아"", ""브라우니"", ""다크초콜릿"", ""베이킹초콜릿""]","초콜릿 또는 카카오 제품 섭취가 언급된 경우","위험","1","초콜릿 종류, 양, 섭취 시간, 체중을 확인하고 즉시 응급 수의사에게 연락하세요.","69","100"
"66","중독/음식","초콜릿 섭취 후 신경/호흡 증상","[""초콜릿"", ""떨림"", ""발작"", ""빠른 호흡"", ""심박"", ""혼수"", ""비틀"", ""과활동""]","초콜릿 섭취와 떨림, 발작, 빠른 호흡, 심박 이상, 혼수 등이 함께 언급된 경우","위험","1","초콜릿 독성 증상이 의심되므로 즉시 응급 진료가 필요할 수 있습니다.","69","100"
"67","감염/응급","렙토스피라 의심 증상","[""렙토스피라"", ""고인물"", ""연못"", ""쥐"", ""황달"", ""소변"", ""구토"", ""무기력"", ""발열""]","고인 물/야생동물/쥐 노출 또는 렙토스피라 언급과 전신 증상이 있는 경우","주의","0","오염된 물이나 야생동물 노출 후 전신 증상이 있으면 동물병원에 상담하세요.","71","75"
"68","감염/보호자 안전","렙토스피라 보호자 안전","[""렙토스피라"", ""소변"", ""전염"", ""사람"", ""장갑"", ""감염""]","렙토스피라 의심 상황에서 소변 접촉 또는 사람 전염 가능성을 문의한 경우","주의","0","소변 접촉을 피하고 장갑과 손씻기를 하며, 병원에 노출 가능성을 알려주세요.","71","65"
"69","이물질/장폐색","이물질 삼킴 위험","[""이물질"", ""장난감"", ""양말"", ""뼈"", ""돌"", ""옥수수대"", ""삼켰"", ""먹었"", ""장폐색""]","소화되지 않는 물체를 삼켰거나 장폐색이 의심되는 경우","위험","1","삼킨 물체의 종류, 크기, 시간과 증상을 정리해 즉시 병원에 문의하세요.","73","95"
"70","이물질/장폐색","선형 이물질 삼킴","[""끈"", ""실"", ""리본"", ""낚싯줄"", ""선형이물"", ""입에서 끈"", ""항문에서 끈""]","끈·리본 등 선형 이물질 섭취가 의심되는 경우","위험","1","선형 이물질은 장 손상 위험이 높으므로 즉시 병원에 문의하세요. 보이는 끈을 잡아당기지 마세요.","73","100"
"71","생식기/응급","자궁축농증 의심","[""자궁축농증"", ""중성화 안"", ""질분비물"", ""고름"", ""발정"", ""복부팽만"", ""창백한 잇몸""]","중성화하지 않은 암컷 또는 최근 발정 이력과 질 분비물/복부팽만/창백한 잇몸 같은 위험 신호가 함께 언급된 경우","위험","1","생식기 감염 또는 전신 악화와 관련된 위험 신호일 수 있으므로 즉시 동물병원에 문의하세요.","75","95"
"72","소화기/응급","GDV/위확장염전 의심","[""위확장"", ""위염전"", ""GDV"", ""bloat"", ""헛구역질"", ""토하려는데 안 나와"", ""복부팽만"", ""배가 부풀"", ""침흘림"", ""안절부절"", ""창백한 잇몸""]","헛구역질, 복부팽만, 침흘림, 안절부절, 창백한 잇몸, 허약/붕괴가 언급된 경우","위험","1","위확장염전은 생명을 위협할 수 있어 즉시 응급 동물병원으로 이동하세요.","75","100"
"73","호흡/주의","후두마비 의심 경미 증상","[""거친 호흡"", ""쌕쌕"", ""기침"", ""구역질"", ""운동불내성"", ""더위불내성"", ""짖는 소리 변""]","거친 호흡, 쌕쌕거림, 기침, 구역질, 운동/더위 불내성이 반복되는 경우","주의","0","호흡이 갑자기 나빠지지 않는 경미한 증상이라도 반복되면 수의사 상담을 예약하고 더위·흥분·운동을 줄이세요.","77","70"
"74","호흡/응급","후두마비 호흡 응급","[""후두마비"", ""호흡곤란"", ""숨 못 쉬"", ""잇몸 파래"", ""혀 파래"", ""청색증"", ""쓰러짐"", ""collapse""]","후두마비 의심과 호흡곤란, 청색증, 쓰러짐이 함께 언급된 경우","위험","1","호흡곤란이나 청색증은 응급 상황일 수 있으므로 즉시 병원으로 이동하세요.","77","100"
"75","감염/응급","파보바이러스 의심","[""파보"", ""파보바이러스"", ""미접종"", ""혈변"", ""점액변"", ""악취"", ""반복 구토"", ""반복 설사""]","어린 강아지 또는 미접종견에서 반복 구토/설사, 혈변, 악취 변 등이 함께 언급된 경우","위험","1","어린 개의 감염성 위장 증상은 빠르게 악화될 수 있으므로 백신 여부와 증상을 정리해 즉시 병원에 문의하세요.","79","90"
"76","신경/주의","발작 후 기록/상담","[""발작"", ""경련"", ""간질"", ""몸을 떨어"", ""침흘림"", ""의식소실"", ""소변"", ""대변"", ""비틀""]","짧은 발작 후 회복했거나 발작 양상을 설명하는 경우","주의","0","발작 시간과 전후 행동을 기록하고 가능하면 영상을 확보한 뒤 수의사에게 상담하세요.","79","75"
"77","신경/응급","발작 응급 기준","[""5분"", ""오분"", ""계속 발작"", ""발작이 안 멈춰"", ""반복 발작"", ""하루 두 번"", ""24시간"", ""여러 번 발작""]","발작이 5분 이상 지속되거나 24시간 내 여러 번 반복되는 경우","위험","1","발작이 길어지거나 반복되면 생명을 위협할 수 있으므로 즉시 응급 병원으로 이동하세요.","81","100"
"78","소화기/주의","경미한 설사 관찰/상담","[""설사"", ""묽은변"", ""물변"", ""새 사료"", ""사료 바꿈"", ""간식"", ""스트레스""]","활력과 식욕은 비교적 정상이고 설사가 시작된 지 1~2일 이내인 경우","주의","0","물을 충분히 제공하고 상태를 관찰하되, 1~2일 이상 지속되거나 악화되면 수의사에게 상담하세요.","81","45"
"79","소화기/응급","설사 위험 신호","[""검은변"", ""타르변"", ""혈변"", ""피 설사"", ""반복 구토"", ""48시간"", ""72시간"", ""이틀"", ""사흘""]","설사와 검은변/혈변, 반복 구토 또는 48~72시간 이상 지속이 함께 언급된 경우","위험","1","탈수나 심각한 원인이 있을 수 있으므로 대변 샘플과 증상 시간을 정리해 병원에 문의하세요.","83","85"
"80","열사병/주의","더위 노출 후 초기 과열","[""더위"", ""더운 날"", ""여름"", ""헐떡"", ""침흘림"", ""그늘"", ""안 놀아"", ""낑낑"", ""과열""]","더운 환경 또는 산책/운동 후 헐떡임, 침흘림, 그늘 찾기, 활동 거부가 언급된 경우","주의","0","즉시 시원한 곳으로 이동시키고 물을 제공하세요. 호흡곤란, 구토, 설사, 무기력, 혼란, 발작, 쓰러짐이 있으면 바로 병원에 연락하세요.","84","64"
"81","열사병/응급","열사병 위험 신호","[""열사병"", ""호흡곤란"", ""혈변"", ""피 설사"", ""구토"", ""허약"", ""혼란"", ""발작"", ""쓰러짐"", ""collapse""]","더위 노출 후 호흡곤란, 혈변성 설사, 구토, 허약, 혼란, 발작, 붕괴가 언급된 경우","위험","1","열사병은 생명을 위협할 수 있으므로 냉각을 시작하면서 즉시 동물병원으로 이동하세요.","84","100"
