"id","category","symptom_keyword","condition_text","action_text","do_not_action","source_title","source_org","source_url","source_type"
"11","열사병","열사병","더위 노출 후 심한 헐떡임, 침 흘림, 무기력, 구토/설사, 잇몸 이상은 열사병 위험으로 즉시 병원 권장 상황이다.","그늘/서늘한 실내로 옮기고 상온 물에 적신 수건을 목·겨드랑이·서혜부에 대며 병원으로 이동한다.","차갑거나 냉수 욕조에 담그지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"12","쇼크","쇼크","쇼크 의심 증상은 즉시 병원 방문 대상이다.","따뜻하고 조용하게 유지하며 즉시 가까운 동물병원으로 이동한다.","움직임을 과하게 만들거나 지연하지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"13","발작","발작","발작은 시간과 반복 여부 기록이 중요하며, 장시간/반복/지속 발작은 즉시 병원 대상이다.","주변 위험물을 치우고 발작 시간을 기록한 뒤 병원에 연락한다.","반려견을 억지로 붙잡거나 입 안/입 근처에 손을 넣지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"14","질식","질식","질식 의심 또는 푸른 입술/혀는 즉시 병원 권장 상황이다.","숨을 쉴 수 있으면 진정시키고 즉시 병원에 간다. 보이는 이물질만 조심히 확인한다.","이물질을 더 밀어 넣지 않도록 무리하게 손을 넣지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"15","호흡정지","호흡 안 함","호흡정지는 즉시 응급 처치와 병원 이동이 필요한 최상위 응급 상황이다.","침착하게 기도 확인 후 가능한 경우 구조호흡을 시작하고 즉시 병원으로 이동한다.","시간을 지체하거나 음식/물을 먹이지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"16","심정지","심장 안 뛰어","심박이 없거나 반응이 없는 경우 즉시 CPR 및 병원 이동이 필요한 최상위 응급 상황이다.","가능한 경우 구조호흡과 흉부압박을 시행하며 즉시 병원으로 이동한다.","병원 연락과 이동을 지연하지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"17","중독 공통","독성 물질","잠재적 독성 물질 섭취 또는 노출이 의심되면 섭취량과 시간을 기록하고 수의사 또는 ASPCA Poison Control에 연락해야 한다.","물질명, 제품명, 성분표, 섭취량, 노출 시간을 확인해 병원/독성 상담 기관에 연락한다.","증상이 없다는 이유로 경과 관찰만 하거나 임의 처치를 하지 않는다.","ASPCA Poison Control","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control","전문기관"
"18","독성 식물","식물 섭취","ASPCA 식물 목록은 전신 영향 또는 강한 위장관 영향을 보고한 식물을 포함하며, 독성 식물 섭취 의심 시 병원/Poison Control 상담이 필요하다.","식물명/사진, 섭취 부위와 양, 시간을 확인해 병원에 문의한다.","식물명을 모르는 상태에서 안전하다고 단정하지 않는다.","Toxic and Non-Toxic Plants List","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants","전문기관"
"19","독성 식물","소철/사고야자","Sago Palm은 개에게 독성이 있으며 구토, 흑색변, 황달, 출혈성 위장염, 응고장애, 간 손상/부전, 사망 등이 보고된다.","섭취 의심 즉시 식물명/사진, 섭취량, 시간을 확인해 병원에 연락한다.","증상이 아직 없다고 기다리지 않는다.","Sago Palm","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sago-palm","전문기관"
"20","독성 식물","튤립","Tulip은 개에게 독성이 있으며 구토, 우울, 설사, 침흘림이 보고되고 구근에 독소 농도가 높다.","구근 섭취 여부와 양, 시간을 확인해 병원에 문의한다.","구근 섭취를 단순 위장장애로 단정하지 않는다.","Tulip","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tulip","전문기관"
"21","독성 식물","철쭉/진달래류","Azalea/Rhododendron은 개에게 독성이 있으며 구토, 설사, 쇠약, 심부전이 보고된다.","식물명/사진, 섭취량, 시간을 확인해 즉시 병원에 문의한다.","증상이 약해 보여도 독성 가능성을 낮게 보지 않는다.","Azalea","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/azalea","전문기관"
"22","독성 식물","백합","ASPCA Lily 항목은 Lilium species를 고양이 독성으로 분류하고 개에게는 비독성으로 분류한다.","강아지 단독 섭취는 고위험으로 단정하지 않되, 반려묘 동거 또는 식물명 불확실 시 상담을 안내한다.","개에게도 무조건 고위험이라고 잘못 안내하지 않는다.","Lily","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lily","전문기관"
"23","위험 음식","사람 음식","ASPCA는 사람 음식 위험 목록을 제공하며, 해당 음식 섭취가 의심되면 섭취량을 기록하고 수의사 또는 Poison Control에 연락하라고 안내한다.","음식명, 섭취량, 섭취 시간을 확인해 병원/독성 상담 기관에 연락한다.","상태만 보고 안전하다고 단정하지 않는다.","People Foods to Avoid Feeding Your Pets","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets","전문기관"
"24","위험 음식","알코올/생효모 반죽","알코올은 구토, 설사, 운동실조, 호흡곤란, 떨림, 혼수, 사망까지 유발할 수 있고, 생효모 반죽은 위장 팽창/꼬임 및 알코올 생성 문제가 있다.","섭취량과 시간을 확인해 즉시 병원에 연락한다.","수의사 지시 없이 구토 유도 등 임의 처치를 하지 않는다.","People Foods to Avoid Feeding Your Pets","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets","전문기관"
"25","위험 음식","초콜릿/카페인","초콜릿·커피·카페인은 methylxanthine 관련 독성으로 구토, 설사, 헐떡임, 과활동, 부정맥, 떨림, 발작, 사망까지 가능하다.","종류(다크/베이킹/코코아 등), 양, 시간을 확인해 병원에 연락한다.","초콜릿 종류와 양을 모른 채 안전하다고 단정하지 않는다.","People Foods to Avoid Feeding Your Pets","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets","전문기관"
"26","위험 음식","포도/건포도","포도와 건포도 노출은 개에서 신장 손상으로 이어질 수 있다고 안내된다.","섭취 개수/양, 시간을 확인해 즉시 병원에 연락한다.","소량이라고 임의로 안전 판단하지 않는다.","People Foods to Avoid Feeding Your Pets","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets","전문기관"
"27","위험 음식","양파/마늘/부추","Allium류는 위장 자극과 적혈구 손상을 일으킬 수 있고, 개도 섭취량에 따라 위험하다.","음식에 들어간 양과 조리 형태를 확인해 병원에 문의한다.","조리된 양파/마늘은 괜찮다고 단정하지 않는다.","People Foods to Avoid Feeding Your Pets","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets","전문기관"
"28","위험 음식","자일리톨","자일리톨은 저혈당과 간 손상을 유발할 수 있고, 구토·무기력·운동실조에서 발작으로 진행할 수 있다.","제품명, 성분표, 섭취량, 시간을 확인해 즉시 병원에 연락한다.","증상이 없다고 기다리지 않는다.","People Foods to Avoid Feeding Your Pets","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets","전문기관"
"29","위험 음식","마카다미아","마카다미아는 개에서 쇠약, 운동실조, 우울, 구토, 떨림, 고체온을 유발할 수 있다.","섭취량과 시간을 확인하고 증상 발생 여부를 관찰해 병원에 문의한다.","일반 견과류와 동일하게 가볍게 안내하지 않는다.","People Foods to Avoid Feeding Your Pets","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets","전문기관"
"30","위험 음식","소금/고염분","과도한 염분 섭취는 구토, 설사, 우울, 떨림, 발작, 사망까지 유발할 수 있다.","섭취량과 음식/제품 종류를 확인해 병원에 문의한다.","물을 억지로 과량 먹이는 등 임의 처치를 하지 않는다.","People Foods to Avoid Feeding Your Pets","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets","전문기관"
"31","위험 음식","생고기/뼈","Raw meat/eggs는 세균 위험이 있고, 뼈 섭취는 위장관 손상 또는 폐색으로 수술이 필요할 수 있다.","무엇을 먹었는지, 뼈 여부, 섭취량과 시간을 확인해 병원에 문의한다.","뼈 섭취를 자연스럽거나 안전하다고 안내하지 않는다.","People Foods to Avoid Feeding Your Pets","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets","전문기관"
"32","주의 음식","유제품/견과류/지방식","유제품은 설사나 소화기 문제를 유발할 수 있고, 고지방 견과류/음식은 구토·설사 및 일부에서 췌장염 우려가 있다.","섭취량과 증상을 확인하고 반복 구토/설사 또는 무기력 동반 시 병원에 문의한다.","증상 악화 시 단순 배탈로만 판단하지 않는다.","People Foods to Avoid Feeding Your Pets","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets","전문기관"
"33","가정용품 중독","생활용품","가정용품 독성 가이드는 일반 정보일 뿐이며, 독성 노출 의심 시 수의사 또는 Poison Control에 즉시 연락하라고 안내한다.","제품명/성분표, 노출 경로, 노출량, 시간을 확인해 병원/독성 상담 기관에 연락한다.","일반 정보만으로 안전 여부를 자체 판단하지 않는다.","Poisonous Household Products","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/poisonous-household-products","전문기관"
"34","가정용품 중독","표백제","희석하지 않은 표백제 섭취는 입과 식도 손상을 유발할 수 있으며 고농도 또는 높은 pH에서 우려가 커진다.","제품 농도와 노출 경로를 확인해 병원에 연락한다.","임의로 중화시키거나 억지로 토하게 하지 않는다.","Poisonous Household Products","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/poisonous-household-products","전문기관"
"35","가정용품 중독","치약/자일리톨","치약은 fluoride 또는 xylitol을 포함할 수 있고, 자일리톨은 저혈당 또는 간 손상을 일으킬 수 있다.","치약 제품명/성분표/섭취량을 확인해 병원에 연락한다.","자일리톨 함유 가능성을 확인하지 않고 안전하다고 안내하지 않는다.","Poisonous Household Products","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/poisonous-household-products","전문기관"
"36","가정용품 중독","세탁세제/드라이어시트","세탁세제/캡슐세제는 위장 장애와 입·목 자극을 유발할 수 있고, 드라이어 시트/섬유유연제는 화학 화상·궤양 및 이물 폐색 위험이 있다.","제품명/성분표/섭취량/시간을 확인해 병원에 연락한다.","물을 억지로 먹이거나 구토 유도하지 않는다.","Poisonous Household Products","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/poisonous-household-products","전문기관"
"37","가정용품 중독","화장품/포장재","일부 화장품은 가벼운 위장장애를 유발할 수 있으나, 플라스틱 포장 섭취는 위장관 이물 폐색으로 응급 상황이 될 수 있다.","화장품 자체와 포장재 섭취 여부를 확인해 병원에 문의한다.","포장재를 삼킨 경우 단순 위장장애로만 보지 않는다.","Poisonous Household Products","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/aspca-poison-control/poisonous-household-products","전문기관"
"38","열사병/계절성","더위/열사병","더위 노출 후 과도한 헐떡임, 호흡곤란, 침흘림, 쇠약, 혼미/쓰러짐, 발작, 혈변/구토, 104°F 이상 체온은 과열 증상으로 제시된다.","시원한 곳으로 이동하고 즉시 병원에 연락한다.","주차된 차 안에 두거나 뜨거운 아스팔트 산책을 지속하지 않는다.","Hot Weather Safety Tips","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/general-pet-care/hot-weather-safety-tips","전문기관"
"39","계절성 위험","명절 음식/장식","Holiday Safety Tips는 지방·단·매운 음식, 뼈, 알코올, 전선·배터리·장식, 독성 식물, 틴셀, 스노우글로브, 제설제/소금반죽, 약물 등을 위험 요소로 제시한다.","무엇을 먹거나 씹었는지 제품/사진을 확인하고 병원에 문의한다.","뼈/틴셀/배터리/스노우글로브 노출을 단순 장난으로 보지 않는다.","Holiday Safety Tips","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/general-pet-care/holiday-safety-tips","전문기관"
"40","계절성 위험","할로윈 사탕/소품","할로윈 사탕 중 초콜릿과 자일리톨 함유 무설탕 사탕은 위험할 수 있고, 소품/의상 장식은 질식 또는 플라스틱 섭취 위험이 있다.","사탕 종류, 포장지, 섭취량과 시간을 확인해 병원에 연락한다.","사탕 포장지나 장식 삼킴을 대수롭지 않게 넘기지 않는다.","Halloween Safety Tips","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/general-pet-care/halloween-safety-tips","전문기관"
"41","계절성/음식 위험","추수감사절 음식","Thanksgiving Safety Tips는 생/덜 익힌 고기, 가금류 뼈, 양파/마늘, 고염분 육수 큐브, 생효모 반죽, raw eggs, xylitol, 초콜릿 등을 위험 요소로 제시한다.","음식 재료와 조리 상태, 뼈 여부, 섭취량, 시간을 확인한다.","양념된 음식, 뼈, 생반죽, 자일리톨 디저트를 소량이라고 안전하게 안내하지 않는다.","Thanksgiving Safety Tips","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/general-pet-care/thanksgiving-safety-tips","전문기관"
"42","중독 증상","중독","구토·설사·침흘림·식욕부진 등은 중독 가능성 신호로 분류하고, 독성 물질 노출 의심이 함께 있으면 위험도를 높인다.","노출 물질, 증상, 시간, 체중을 정리해 수의사 또는 독성 상담 기관에 연락한다.","증상만 보고 괜찮다고 단정하지 않는다.","Signs And Symptoms of Pet Poisoning","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/basics/signs-of-poisoning-in-dogs-and-cats/","전문기관"
"43","중독/내출혈","피토","피 토함·창백한 잇몸·쓰러짐 등은 중독성 내출혈 가능성이 있는 응급 신호로 분류한다.","즉시 동물병원 또는 응급병원에 연락하고 방문 준비를 한다.","집에서 경과만 관찰하거나 임의 처치를 하지 않는다.","Signs And Symptoms of Pet Poisoning","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/basics/signs-of-poisoning-in-dogs-and-cats/","전문기관"
"44","중독/신장","신장","포도/건포도·부동액 등 신장 독성 가능 물질과 함께 구토·갈증 증가·배뇨 변화가 있으면 위험 신호로 분류한다.","섭취 물질과 증상을 정리해 즉시 수의사 상담을 받는다.","배뇨 변화가 있어도 단순 컨디션 저하로 단정하지 않는다.","Signs And Symptoms of Pet Poisoning","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/basics/signs-of-poisoning-in-dogs-and-cats/","전문기관"
"45","중독/간","황달","황달, 검은 변, 이상 행동, 쓰러짐이 독성 노출과 함께 있으면 위험 신호로 분류한다.","즉시 병원에 연락하고 노출 물질과 시간을 전달한다.","진단명처럼 단정하지 않고 중독 가능성/응급 상담 필요로 안내한다.","Signs And Symptoms of Pet Poisoning","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/basics/signs-of-poisoning-in-dogs-and-cats/","전문기관"
"46","중독 응급 준비","응급키트","응급 상황에 대비해 병원 연락처, 기본 정보, 정상값/현재 증상, 이동 준비 정보를 미리 정리해 둘 수 있다.","응급 상황 전 병원/상담 연락처와 기본 진료 정보를 준비한다.","응급 키트만 믿고 전문 상담 없이 처치를 시작하지 않는다.","Create a Pet Poison First Aid Kit","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/basics/pet-poison-first-aid-kit/","전문기관"
"47","중독/임의처치 금지","과산화수소","독성 노출 의심 시 수의사 지시 없이 구토 유도, 사람 약 투여, 민간요법을 시도하지 않도록 안내한다.","즉시 수의사/독성 상담 기관에 연락해 지시에 따른다.","수의사 지시 없이 과산화수소, 사람 약, 우유, 소금, 식용유 등 민간요법을 사용하지 않는다.","Create a Pet Poison First Aid Kit","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/basics/pet-poison-first-aid-kit/","전문기관"
"48","중독/대표 독소","초콜릿","초콜릿, 포도, 자일리톨 등은 반려견에게 중독 위험이 큰 대표 물질로 알려져 있어 섭취가 의심되면 빠른 확인이 필요하다.","의심 물질이 있으면 포장/라벨과 섭취량, 시간을 확보해 병원에 전달한다.","물질을 정확히 확인하지 않은 채 집에서 경과만 관찰하지 않는다.","Top 10 Pet Poisons","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/basics/top-10-pet-poisons/","전문기관"
"49","식물 중독","백합","위험 식물 섭취 의심 시 식물명/사진을 확보하고 병원 상담 대상으로 분류한다.","가능하면 식물 사진이나 잎/꽃 일부를 안전하게 확보해 병원에 전달한다.","정확한 식물명을 모른다고 방치하지 않는다.","Top 10 Plants Poisonous to Pets","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/basics/top-10-plants-poisonous-to-pets/","전문기관"
"50","약물 중독","이부프로펜","사람 약 복용/섭취는 약물명·용량·시간을 정리해 즉시 상담해야 하는 위험 항목으로 분류한다.","약 포장/처방전/성분명을 준비해 즉시 병원 또는 상담 기관에 연락한다.","사람 약을 반려동물에게 임의 투여하지 않는다.","Top 10 Human Medications Poisonous to Pets","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/basics/top-10-human-medications-poisonous-to-pets/","전문기관"
"51","계절/봄 식물","튤립","봄철 구근 식물 섭취는 식물명과 섭취 부위를 확인해 상담 대상으로 분류한다.","구근/식물명과 섭취량, 증상을 정리해 병원에 문의한다.","구근 섭취를 단순 풀 섭취로 판단하지 않는다.","Spring Pet Poisons","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/seasons/spring/","전문기관"
"52","계절/봄 식물","수선화","수선화 섭취는 위험 식물 섭취로 분류하고 병원 상담을 권장한다.","식물명/사진과 섭취 시간을 정리해 병원에 연락한다.","증상이 없다고 안전하다고 단정하지 않는다.","Spring Pet Poisons","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/seasons/spring/","전문기관"
"53","계절/겨울 명절","명절","명절 음식이나 장식품은 성분과 포장재에 따라 중독 또는 이물 섭취 위험이 생길 수 있다.","먹은 항목, 제품명, 양, 시간을 정리해 병원에 전달한다.","장식품이나 음식 포장만 보고 안전하다고 판단하지 않는다.","Winter Holiday Pet Poison Tips","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/seasons/winter-holiday-pet-poison-tips/","전문기관"
"54","계절/여름 중독","여름","여름철 야외 활동 중 독성 물질에 노출되면 물질명과 섭취 시간을 빠르게 확인하는 것이 중요하다.","제품명/성분표, 노출량, 증상을 정리해 병원에 전달한다.","민간요법이나 임의 구토 유도를 하지 않는다.","Summer Pet Poisons","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/seasons/summer-pet-poisons/","전문기관"
"55","계절/여름 염분","바닷물","바닷물 과다 섭취 후 구토/설사/비틀거림/발작은 위험 신호로 분류한다.","깨끗한 물을 제공하고 증상이 있으면 즉시 병원에 연락한다.","소금물 섭취를 단순 갈증으로 가볍게 보지 않는다.","Summer Pet Poisons","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/seasons/summer-pet-poisons/","전문기관"
"56","계절/가을 중독","버섯","정체를 알 수 없는 버섯 섭취는 중독 위험이 있어 빠른 병원 상담이 권장된다.","가능하면 버섯 사진/샘플을 준비하고 병원에 연락한다.","버섯 종류를 임의로 판단해 안전하다고 하지 않는다.","Fall Toxins Poisonous to Dogs & Cats","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/seasons/fall-toxins-poisonous-to-dogs-cats/","전문기관"
"57","계절/가을 중독","부동액","부동액/ethylene glycol 노출은 즉시 병원 방문이 필요한 매우 위험한 상황이다.","제품명/노출량/시간을 정리해 즉시 병원으로 이동한다.","증상이 나아지는 듯해도 안전하다고 판단하지 않는다.","Fall Toxins Poisonous to Dogs & Cats","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/seasons/fall-toxins-poisonous-to-dogs-cats/","전문기관"
"58","계절/할로윈 음식","할로윈","할로윈 사탕, 초콜릿, 건포도, 포장지는 중독이나 이물 섭취 위험으로 이어질 수 있어 섭취 여부 확인이 중요하다.","섭취 음식과 포장지 포함 여부, 양, 시간을 확인해 병원에 전달한다.","포장지를 삼켰을 가능성을 무시하지 않는다.","Halloween Dangers to Dogs & Cats","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/seasons/halloween/","전문기관"
"59","주방/식품 중독","초콜릿","초콜릿, 포도, 자일리톨 같은 일부 주방 식품은 반려견에게 중독 위험이 있을 수 있다.","식품명, 양, 섭취 시간, 증상을 확인해 병원에 문의한다.","수의사 상담 없이 구토 유도나 가정요법을 하지 않는다.","Top 10 Kitchen Toxins","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/kitchen/","전문기관"
"60","공간/욕실","욕실","욕실 약물·청소제품 노출은 물질명과 성분을 확인해 상담 대상으로 분류한다.","제품명/성분표, 양, 시간, 증상을 정리해 연락한다.","사람 약을 임의로 투여하거나 청소제품 노출 후 임의 처치하지 않는다.","How to Poison Proof Your Bathroom","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/bathroom/","전문기관"
"61","공간/거실","거실","거실의 식물, 향제품, 니코틴, 배터리, 가방 속 물품은 반려견에게 노출 위험이 될 수 있다.","노출 물질을 확인하고 제품/사진을 준비해 문의한다.","새 주변에 에어로졸을 뿌리거나 배터리 섭취를 단순 이물질로만 보지 않는다.","How to Poison Proof Your Living Room","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/living-room/","전문기관"
"62","공간/세탁/다용도실","세탁세제","세탁세제나 표백 제품은 화학물질 노출 위험이 있어 제품명과 노출 경로 확인이 필요하다.","제품명/성분표, 노출 경로, 증상을 정리해 즉시 상담한다.","노출 직후 괜찮아 보여도 안전하다고 단정하지 않는다.","How to Poison Proof Your Utility Room","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/utility-room/","전문기관"
"63","공간/차고","차고","차고의 자동차 제품, 특히 부동액 등은 반려견에게 매우 위험할 수 있다.","제품명/성분표와 노출량, 시간을 확인해 즉시 병원에 연락한다.","흘린 부동액을 방치하거나 증상 관찰만 하지 않는다.","How to Poison Proof Your Garage","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/garage/","전문기관"
"64","공간/마당/정원","마당","마당이나 정원의 식물, 비료, 살충제, 제초제, 퇴비와 멀치는 섭취 시 위험할 수 있다.","식물/제품명, 사진, 성분표, 섭취량, 시간을 정리해 상담한다.","식물명을 모른다고 임의 판단하지 않는다.","How to Poison Proof Your Yard and Garden","Pet Poison Helpline","https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/yard-and-garden/","전문기관"
