"id","management_number","hospital_name","address","phone","operating_status","source_modified_at"
"57","302000001020120005","이태원동물병원","서울특별시 용산구 녹사평대로 210, 지하1, 1, 2층층 일부호 (이태원동)","","영업/정상","2026-05-18 10:15:05"
"58","302000001020130003","퍼스동물병원","서울특별시 용산구 신흥로 54, 106호 (용산동2가, 북동연립)","02-790-7508","영업/정상","2019-03-06 14:09:37"
"59","302000001020150002","좋아서하는 동물병원","서울특별시 용산구 백범로 341, B동 지상1층 113,114호 (원효로1가, 리첸시아 용산)","02-703-0075","영업/정상","2022-04-01 16:50:04"
"60","303000001020130007","기린동물병원","서울특별시 성동구 마장로 296 (마장동)","02-2291-8275","영업/정상","2014-09-11 13:08:02"
"61","303000001020140001","왕십리조은동물병원","서울특별시 성동구 왕십리로 381 (하왕십리동)","02-2297-0075","영업/정상","2025-05-09 13:26:54"
"62","303000001020160001","오석헌동물병원","서울특별시 성동구 매봉길 13, 1층 420호 (옥수동, 래미안옥수리버젠상가)","02-6402-0301","영업/정상","2016-09-19 09:45:51"
"63","303000001020160002","제인동물병원","서울특별시 성동구 뚝섬로 395 (성수동2가)","02-468-7582","영업/정상","2019-03-06 18:26:29"
"64","303000001020160004","금호동물병원","서울특별시 성동구 금호로 105, 비201호 (금호동2가, 래미안하이리버 상가동)","02-2281-0049","영업/정상","2019-06-28 13:42:40"
"65","303000001020160006","포레동물병원","서울특별시 성동구 상원길 59, 쌍용아파트상가B동 107호 (성수동1가)","02-468-7975","영업/정상","2025-03-13 16:29:33"
"66","303000001020160007","스테이동물병원","서울특별시 성동구 매봉길 50 (옥수동, 이편한세상옥수파크힐스)","02-2282-7501","영업/정상","2019-04-25 11:21:04"
"67","303000001020170001","바라봄동물병원","서울특별시 성동구 왕십리로 410, 127동 지하층 030호 (하왕십리동, 센트라스)","02-2297-9300","영업/정상","2019-03-06 18:18:17"
"68","303000001020180002","달링동물병원","서울특별시 성동구 왕십리로 16 (성수동1가, 트리마제)","02-466-8215","영업/정상","2019-04-25 11:22:17"
"69","303000001020190003","베이지동물병원","서울특별시 성동구 왕십리로 410, D동 106호 (하왕십리동, 센트라스)","02-2295-9888","영업/정상","2025-06-23 18:12:52"
"70","303000001020200001","오늘동물병원","서울특별시 성동구 왕십리로 104, 영화빌딩 2층 (성수동1가)","02-469-7975","영업/정상","2020-04-17 16:14:52"
"71","303000001020220002","조형선외과동물병원","서울특별시 성동구 금호로 146, 제1, 2층 (금호동1가)","02-2282-0119","영업/정상","2022-12-08 16:03:24"
"72","303000001020240002","BK심장동물병원","서울특별시 성동구 고산자로6길 40, 행당동 레몬프라자 1층 113호 (행당동)","02-790-9808","영업/정상","2025-02-06 14:07:01"
"73","303000001020240003","성수 숲속 피부과 동물병원","서울특별시 성동구 서울숲2길 32-14, 지하1층 B114호 (성수동1가, 갤러리아 포레)","02-2205-2975","영업/정상","2025-02-06 14:07:28"
"74","303000001020240004","왕십리동물병원","서울특별시 성동구 무학로6길 50, 101동 225호 (도선동, 성동삼성쉐르빌)","02-2138-1888","영업/정상","2025-02-06 14:08:00"
"75","303000001020030006","평생피부과동물병원","서울특별시 성동구 행당로 76, 110호 (행당동, 한진노변상가)","02-3395-0075","영업/정상","2022-03-21 16:03:01"
"76","303000001020030007","오렌지동물병원","서울특별시 성동구 행당로8길 41-2 (행당동)","02-2297-7582","영업/정상","2025-05-29 15:44:58"
"77","303000001020040004","한빛동물병원","서울특별시 성동구 금호산길 58(금호동2가)","02-2233-1848","영업/정상","2021-07-01 16:04:11"
"78","303000001020060001","아지동물병원","서울특별시 성동구 독서당로 289 (금호동4가,지상1층)","02-6085-7750","영업/정상","2019-06-27 17:15:51"
"79","303000001020070002","24시센트럴동물메디컬센터","서울특별시 성동구 고산자로 207 (행당동)","02-3395-7975","영업/정상","2026-04-20 16:09:07"
"80","303000001020080001","이윤세동물병원","서울특별시 성동구 행당로 76, 한진노변상가 1,2층 108호109호203호 (행당동)","02-2282-7503","영업/정상","2019-03-06 18:26:09"
"81","303000001020100001","한양동물메디컬센터","서울특별시 성동구 왕십리로 282 (행당동)","02-2281-5200","영업/정상","2023-05-11 09:10:39"
"82","303000001020120002","옥수수 동물병원","서울특별시 성동구 독서당로40길 39, 어울림상가 301~304호 (옥수동)","02-2291-7582","영업/정상","2022-06-03 10:46:42"
"83","303000001020120003","도담동물병원(출장진료전문 동물병원)","서울특별시 성동구 독서당로59길 84, 신동아아파트상가동 1층 111호 (행당동)","","영업/정상","2019-03-06 18:14:05"
"84","303000001020130001","라임동물병원","서울특별시 성동구 무학로 16 (홍익동)","02-2281-8122","영업/정상","2019-03-06 18:17:08"
"85","303000001020130006","바른동물병원","서울특별시 성동구 독서당로 270, 상가동 2층 206호 (금호동4가, 금호동 대우아파트)","02-2297-7570","영업/정상","2017-04-28 17:29:36"
"86","304000001020120003","다온동물병원","서울특별시 광진구 면목로 142 (중곡동)","","영업/정상","2024-05-13 16:52:29"
"87","304000001020130002","자양동물병원","서울특별시 광진구 뚝섬로52길 4 (자양동)","","영업/정상","2019-03-06 16:08:43"
"88","304000001020130003","드림펫 동물병원","서울특별시 광진구 능동로 407, 2층 (중곡동)","","영업/정상","2019-03-06 15:50:44"
"89","304000001020140004","서울동물병원","서울특별시 광진구 천호대로 623-1, 1층 (중곡동)","02-2038-8253","영업/정상","2022-12-01 14:45:14"
"90","304000001020160001","로얄 도그앤캣 메디컬센터","서울특별시 광진구 능동로 49 (자양동, 영지빌딩)","","영업/정상","2023-09-21 17:32:29"
"91","304000001020170001","파라곤동물병원","서울특별시 광진구 광나루로 361, 2동 103호 (군자동, 광진동양파라곤)","02-498-7588","영업/정상","2018-02-20 14:59:23"
"92","304000001020170002","쿨펫동물병원","서울특별시 광진구 아차산로 272 (자양동, 이마트 자양점)","02-2024-1253","영업/정상","2022-12-01 14:45:40"
"93","304000001020170004","연두동물병원","서울특별시 광진구 광나루로 524 (구의동)","02-455-0975","영업/정상","2022-05-03 14:22:54"
"94","304000001020170006","광진24시필동물병원","서울특별시 광진구 광나루로56길 66, 201, 202호 (구의동)","02-446-8175","영업/정상","2022-12-16 10:13:14"
"95","304000001020180001","스마트동물병원군자점","서울특별시 광진구 능동로43길 3-5 (중곡동)","02-464-7582","영업/정상","2022-12-01 14:45:50"
"96","304000001020190001","아이본 동물병원","서울특별시 광진구 자양로 65, 화성빌딩 1층 (자양동)","02-455-5975","영업/정상","2025-04-01 14:01:38"
"97","304000001020210001","우주동물병원","서울특별시 광진구 자양로15길 30, 1층 (자양동)","","영업/정상","2026-03-06 17:38:33"
"98","304000001020240001","다봄 동물병원","서울특별시 광진구 자양로 163, 우남빌딩 (구의동)","02-456-7775","영업/정상","2024-07-29 16:10:15"
"99","304000001020240002","아크로벳 내과동물병원","서울특별시 광진구 광나루로 582, 세종빌딩 1층 (구의동)","02-2088-7119","영업/정상","2024-10-28 09:32:16"
"100","304000001020240003","비비동물병원","서울특별시 광진구 능동로 21, 1층 (자양동)","02-2039-7770","영업/정상","2024-10-10 15:05:29"
"101","304000001020250001","서울대학교동물검진센터","서울특별시 광진구 구의강변로 46, 금성빌딩 1,2층 (구의동)","02-6930-5747","영업/정상","2026-02-04 16:15:58"
"102","304000001020250002","Severance AMC","서울특별시 광진구 천호대로 512, 군자빌딩 b층 02호 (군자동)","","영업/정상","2025-10-17 09:55:01"
"103","304000001019970002","프라임동물병원","서울특별시 광진구 아차산로 451 (구의동)","","영업/정상","2019-03-06 16:19:08"
"104","304000001019990002","동서울동물병원","서울특별시 광진구 아차산로 493 (광장동)","","영업/정상","2019-03-06 15:24:59"
"105","304000001020000002","피카소동물병원","서울특별시 광진구 광나루로 392-1 (화양동)","","영업/정상","2025-07-18 09:49:07"
"106","304000001020000003","용마동물병원","서울특별시 광진구 용마산로 66 (중곡동)","","영업/정상","2019-03-06 16:07:35"
"107","304000001020020001","중곡동물병원","서울특별시 광진구 긴고랑로 47 (중곡동)","","영업/정상","2019-03-06 16:11:09"
"108","304000001020020003","방주종합동물병원","서울특별시 광진구 능동로 334 (중곡동)","","영업/정상","2019-03-06 15:48:38"
"109","304000001020030003","광진동물의료센터","서울특별시 광진구 광나루로 507 (구의동)","","영업/정상","2025-10-20 17:00:45"
"110","304000001020040003","건국대학교 부속 동물병원","서울특별시 광진구 능동로 120 (화양동)","","영업/정상","2026-04-16 17:03:14"
"111","304000001020050001","쥬라기동물병원","서울특별시 광진구 광나루로 601 (광장동)","","영업/정상","2026-01-12 09:06:20"
"112","304000001020050002","이다종합동물병원","서울특별시 광진구 뚝섬로 504 (자양동)","","영업/정상","2026-04-23 09:56:23"
"113","304000001020050004","나래동물병원","서울특별시 광진구 능동로 283 (군자동)","","영업/정상","2022-12-01 14:44:31"
"114","304000001020060003","보람동물병원","서울특별시 광진구 군자로 84 (군자동)","","영업/정상","2019-03-06 15:49:47"
"115","304000001020070003","애플동물병원","서울특별시 광진구 천호대로 642-1 (능동)","","영업/정상","2022-12-01 14:44:49"
"116","304000001020080001","로엘동물병원","서울특별시 광진구 뚝섬로 622-1 (자양동)","","영업/정상","2019-03-06 15:47:06"
"117","304000001020080002","해맑은동물병원","서울특별시 광진구 뚝섬로 670 (자양동)","02-6954-7582","영업/정상","2021-06-02 15:39:28"
"118","304000001020080003","노룬산동물병원","서울특별시 광진구 뚝섬로 462 (자양동)","","영업/정상","2022-12-01 14:49:49"
"119","304000001020110001","준동물병원","서울특별시 광진구 뚝섬로 541 (자양동)","","영업/정상","2023-01-27 14:03:40"
"120","304000001020110002","서울어린이대공원동물병원","서울특별시 광진구 능동로 216 (능동)","","영업/정상","2026-05-26 17:58:56"
"121","304000001020120002","나루동물병원","서울특별시 광진구 아차산로 537-17 (광장동)","","영업/정상","2023-03-16 17:10:49"
"122","305000001020110001","엘동물병원","서울특별시 동대문구 고산자로 393-5 (용두동)","02-3295-3927","영업/정상","2019-03-07 11:16:37"
"123","305000001020130003","제연동물병원","서울특별시 동대문구 답십리로 77 (전농동)","02-2242-7975","영업/정상","2019-03-07 11:30:37"
"124","305000001020130004","VIP동물의료센터 동대문점","서울특별시 동대문구 한천로14길 87(장안동)","02-2215-7522","영업/정상","2025-03-31 11:36:30"
"125","305000001020130005","페트로동물의료원","서울특별시 동대문구 답십리로63길 1(장안동)","02-2249-7600","영업/정상","2022-11-01 17:06:31"
"126","305000001020140001","하나동물병원","서울특별시 동대문구 망우로 66 (휘경동)","02-6242-7500","영업/정상","2021-03-08 18:16:31"
"127","305000001020140002","봄봄동물병원","서울특별시 동대문구 회기로18길 46 (회기동)","02-969-7579","영업/정상","2019-03-07 11:06:20"
"128","305000001020150001","아띠동물의료센터","서울특별시 동대문구 사가정로 51 (전농동)","02-6242-8275","영업/정상","2019-03-07 11:15:10"
"129","305000001020160001","스마트동물병원","서울특별시 동대문구 한천로 164, 1층 (장안동)","02-2242-0175","영업/정상","2023-07-05 14:47:17"
"130","305000001020170001","바론동물병원","서울특별시 동대문구 이문로 136, 2층 208호 (이문동, 이문동 웰츠타워)","02-965-0075","영업/정상","2019-06-26 09:35:52"
"131","305000001020170002","더케이동물병원","서울특별시 동대문구 답십리로 140, 세기프라자 2층 211호 (답십리동)","02-2213-8875","영업/정상","2019-03-07 11:16:08"
"132","305000001020170003","현대종합동물병원","서울특별시 동대문구 답십리로 293, 1층 (장안동)","02-2212-7596","영업/정상","2024-01-17 14:56:37"
"133","305000001020180001","하이유 동물병원","서울특별시 동대문구 전농로 15-3 (답십리동)","02-2242-7510","영업/정상","2019-03-07 11:14:41"
"134","305000001020200001","아인스동물병원","서울특별시 동대문구 장한로 44, 1층 (장안동)","02-2213-0075","영업/정상","2020-01-10 13:12:44"
"135","305000001020200002","아이원 동물병원","서울특별시 동대문구 전농로 80, 1층 (답십리동)","02-2217-8930","영업/정상","2023-06-26 16:28:07"
"136","305000001020210001","땅콩동물병원","서울특별시 동대문구 답십리로 224-1 (답십리동)","02-3394-7075","영업/정상","2026-04-02 14:37:10"
"137","305000001020220001","24시 동대문 루시드 동물메디컬센터","서울특별시 동대문구 전농로 57-1, 1층,2층,지하1층 동대문 루시드 동물메디컬센터 (답십리동)","02-6217-0202","영업/정상","2026-04-27 15:32:35"
"138","305000001020230001","서울동물복지지원센터 동대문 동물병원","서울특별시 동대문구 무학로 201 (용두동)","02-921-2413","영업/정상","2025-02-04 13:34:07"
"139","305000001019900002","심재웅동물병원","서울특별시 동대문구 망우로 120 (휘경동)","02-2244-7755","영업/정상","2019-03-07 11:05:24"
"140","305000001019970001","박철환동물병원","서울특별시 동대문구 사가정로 221 (장안동)","02-2244-7479","영업/정상","2019-03-07 11:13:16"
"141","305000001019980001","뉴월드동물병원","서울특별시 동대문구 한천로 94, 1층 (장안동)","02-2212-5233","영업/정상","2019-04-25 09:26:03"
"142","305000001019990001","그랜드동물병원","서울특별시 동대문구 전농로 77(답십리동)","02-2214-6129","영업/정상","2022-04-29 10:18:34"
"143","305000001019990002","애니케어동물병원","서울특별시 동대문구 이문로 80 (이문동)","02-967-0877","영업/정상","2021-10-12 11:08:19"
"144","305000001019990003","푸른종합동물병원","서울특별시 동대문구 홍릉로 48-1, 1층 (청량리동)","02-963-7582","영업/정상","2020-01-09 11:18:54"
"145","305000001020010001","장평25시동물종합병원","서울특별시 동대문구 장한로 139 (장안동)","02-2215-2022","영업/정상","2019-03-07 11:08:36"
"146","305000001020030001","안암동물병원","서울특별시 동대문구 안암로 40, 1층 (용두동)","02-925-3686","영업/정상","2019-03-07 11:04:01"
"147","305000001020040001","주주동물병원","서울특별시 동대문구 사가정로 121 (전농동)","02-2244-1081","영업/정상","2019-03-07 11:12:41"
"148","305000001020050004","디아크동물병원","서울특별시 동대문구 홍릉로 64-1 (청량리동)","02-960-7501","영업/정상","2019-03-07 11:04:30"
"149","305000001020070001","맑은 동물병원","서울특별시 동대문구 청계천로 417, 108호 (신설동, 청계천 대성 스카이렉스1)","02-2234-1379","영업/정상","2019-03-07 11:03:31"
"150","305000001020100001","그린동물병원","서울특별시 동대문구 정릉천동로 58, 1층 125호 (용두동, 롯데캐슬피렌체)","02-957-7075","영업/정상","2019-03-07 11:02:34"
"151","305000001020240001","청량리 슬기 동물병원","서울특별시 동대문구 왕산로 186, 청량리역 우남SL타워300 218, 219호 (전농동)","02-3293-7582","영업/정상","2024-11-21 11:58:03"
"152","305000001020250001","이즈 동물병원","서울특별시 동대문구 이문로35길 12, 상가 C동 102호 (이문동, 래미안라그란데아파트)","02-2138-0514","영업/정상","2025-02-12 15:14:04"
"153","305000001020250002","아이랑 동물병원","서울특별시 동대문구 이문로35길 12, 상가 A동 101호 (이문동, 래미안라그란데아파트)","","영업/정상","2025-03-04 10:35:04"
"154","306000001020250001","모루 동물의료센터","서울특별시 중랑구 망우로 373, 1층 (상봉동)","02-2038-7533","영업/정상","2025-03-20 17:09:34"
"155","306000001019910001","태능동물병원","서울특별시 중랑구 동일로 920, 3층 (묵동)","02-973-1953","영업/정상","2026-02-04 16:04:24"
"156","306000001019950001","보람동물병원","서울특별시 중랑구 면목로 269 (면목동)","","영업/정상","2019-03-06 14:09:43"
"157","306000001019960001","엔젤동물병원","서울특별시 중랑구 겸재로 187 (면목동)","","영업/정상","2019-03-06 14:15:34"
"158","306000001019970001","홍상희동물병원","서울특별시 중랑구 동일로 899, 1층 (묵동)","","영업/정상","2023-09-05 15:21:09"
"159","306000001020000001","하스펫탈동물병원","서울특별시 중랑구 면목로 442-1, 1층 (면목동)","","영업/정상","2025-07-11 10:43:39"
"160","306000001020000002","신내동물병원","서울특별시 중랑구 봉화산로 103, 1층 (중화동, 삼일시티빌)","02-3422-0001","영업/정상","2015-05-28 13:52:40"
"161","306000001020010003","진정훈동물병원","서울특별시 중랑구 봉화산로 39-1, 유정빌딩 2층 (중화동)","02-2207-0073","영업/정상","2022-02-04 11:37:27"
"162","306000001020010004","성지동물병원","서울특별시 중랑구 면목로 311 (면목동)","","영업/정상","2021-07-30 10:20:06"
"163","306000001020020003","금란동물병원","서울특별시 중랑구 용마산로 532, 금란동물병원 (망우동)","","영업/정상","2024-09-04 13:00:33"
"164","306000001020030002","서울우유협동조합유우진료소","서울특별시 중랑구 중랑천로 71 (상봉동)","02-2094-8344","영업/정상","2026-02-03 14:03:28"
"165","306000001020060001","주연동물병원","서울특별시 중랑구 면목로 273 (면목동)","02-2207-9931","영업/정상","2015-07-23 15:33:50"
"166","306000001020060002","진서동물병원","서울특별시 중랑구 신내로10길 7 (신내동)","","영업/정상","2019-03-06 14:17:55"
"167","306000001020060003","세진동물병원","서울특별시 중랑구 망우로 415(망우동)","","영업/정상","2025-03-28 13:13:11"
"168","306000001020060006","숲속동물병원","서울특별시 중랑구 겸재로 207, 1층 (면목동)","","영업/정상","2021-07-30 10:30:32"
"169","306000001020090001","면목동물병원","서울특별시 중랑구 사가정로 363 (면목동)","","영업/정상","2018-10-30 07:35:06"
"170","306000001020100001","하니동물병원","서울특별시 중랑구 신내로 225, 디아뜨갤러리 142호 (신내동)","02-3422-0977","영업/정상","2018-10-12 11:04:29"
"171","306000001020100002","한국동물메디컬센터(KAMC)","서울특별시 중랑구 겸재로 165, 1,2층 (면목동)","02-2208-6788","영업/정상","2021-06-01 21:31:38"
"172","306000001020130001","닥터 아이펫 동물병원","서울특별시 중랑구 망우로 315, 2층 (상봉동)","02-2208-0329","영업/정상","2021-06-01 18:12:36"
"173","306000001020140002","행복이 있는 동물병원","서울특별시 중랑구 봉화산로 232, B동 1층 (신내동)","02-433-3387","영업/정상","2014-12-03 13:57:34"
"174","306000001020160001","보담동물병원","서울특별시 중랑구 용마산로 434 (면목동, 청파빌딩)","02-494-7775","영업/정상","2016-04-21 17:47:43"
"175","306000001020170001","로얄동물암치료센터","서울특별시 중랑구 동일로 640, 지하 2층 (면목동)","02-6215-3416","영업/정상","2023-04-07 17:51:03"
"176","306000001020190002","아이봄 동물병원","서울특별시 중랑구 신내로 66 (신내동)","02-433-7515","영업/정상","2019-09-06 15:08:38"
"177","306000001020200001","레미 동물병원","서울특별시 중랑구 동일로 593, 2층 (면목동)","02-470-4707","영업/정상","2020-06-10 18:05:22"
"178","306000001020200002","치료해 주오","서울특별시 중랑구 동일로 925, 3층 (묵동)","02-949-7577","영업/정상","2025-06-04 16:54:44"
"179","306000001020210002","닥터멍동물병원","서울특별시 중랑구 상봉로 17, 1층 (면목동)","02-439-7582","영업/정상","2024-01-08 13:43:20"
"180","306000001020230001","로얄동물메디컬센터 본원","서울특별시 중랑구 동일로 640, 2층, 3층 (면목동)","070-8660-0904","영업/정상","2024-12-30 14:21:06"
"181","306000001020230002","로얄동물외과수술센터","서울특별시 중랑구 동일로 640, 지하1, 지상4층 (면목동)","070-8660-0936","영업/정상","2025-11-14 16:06:06"
"182","306000001020230003","혜원동물병원","서울특별시 중랑구 면목로 341, 1층 (면목동)","02-439-8300","영업/정상","2023-11-06 10:56:44"
